"Year","Sp1Cover","Sp2Cover","Sp3Cover","Sp4Cover","Sp5Cover","Sp6Cover","Sp7Cover","Sp8Cover","Sp9Cover","Sp10Cover","Sp11Cover","Sp12Cover","MacroalgaeCover","TurfCover","CCACover","AMACover","ACACover","HalimedaCover","CoverSand","Event","CommunityNumber","tick","run","random_seed"
0.0,6.4799999999999995,2.33,10.02,1.8599999999999999,2.13,0.9299999999999999,0.5,1.4500000000000002,0.0,0.0,0.0,0.0,2.35,47.14,12.72,6.5,0.75,0.0,2.46,"initial_count",1,1.0,1,1794238097
0.5,7.33,2.25,10.82,1.9800000000000002,3.85,1.8800000000000001,1.0999999999999999,1.54,0.0,0.0,0.0,0.0,2.41,41.48,7.249999999999999,6.2700000000000005,0.86,0.0,1.6199999999999999,"end_season",1,5.0,1,1794238097
1.0,5.79,1.91,4.22,1.78,2.6599999999999997,2.37,1.06,1.41,0.0,0.05,0.0,0.0,3.55,47.15,3.37,7.199999999999999,1.3599999999999999,0.0,2.17,"end_season",1,9.0,1,1794238097
1.5,4.99,1.13,6.1899999999999995,1.24,2.9899999999999998,3.2399999999999998,1.2,1.05,0.0,0.16999999999999998,0.0,0.0,6.41,50.38,1.3599999999999999,9.16,1.4000000000000001,0.0,2.74,"end_season",1,13.0,1,1794238097
2.0,2.5,0.36,3.5000000000000004,0.26,1.01,2.55,0.29,0.18,0.0,0.01,0.0,0.0,8.68,52.96999999999999,0.95,11.700000000000001,2.04,0.0,1.68,"end_season",1,17.0,1,1794238097
2.5,2.5700000000000003,0.21,3.4799999999999995,0.32,3.1199999999999997,7.19,0.63,0.2,0.0,0.32,0.0,0.0,3.84,12.55,0.53,7.35,0.98,0.0,1.0699999999999998,"end_season",1,21.0,1,1794238097
3.0,0.37,0.0,0.21,0.19,0.76,4.14,0.38999999999999996,0.0,0.0,0.08,0.0,0.0,10.8,43.43,1.1400000000000001,21.709999999999997,1.77,0.0,1.69,"end_season",1,25.0,1,1794238097
3.5,0.38,0.03,0.01,0.01,0.75,3.1300000000000003,0.22,0.0,0.0,0.52,0.0,0.0,10.25,39.21,0.51,22.95,1.48,0.0,2.23,"end_season",1,29.0,1,1794238097
4.0,0.24,0.03,0.01,0.0,1.3599999999999999,5.6899999999999995,0.0,0.0,0.0,0.38999999999999996,0.0,0.04,6.21,17.28,0.63,16.919999999999998,0.83,0.0,0.65,"end_season",1,33.0,1,1794238097
4.5,0.13999999999999999,0.0,0.0,0.0,0.9199999999999999,9.1,0.01,0.0,0.0,2.65,0.0,0.04,4.41,26.77,0.3,20.64,0.45999999999999996,0.0,18.47,"end_season",1,37.0,1,1794238097
5.0,0.13,0.0,0.0,0.0,0.36,2.91,0.0,0.0,0.0,1.8499999999999999,0.0,0.02,4.04,37.830000000000005,1.69,21.740000000000002,1.9800000000000002,0.0,11.44,"end_season",1,41.0,1,1794238097
5.5,0.08,0.0,0.0,0.0,0.59,7.000000000000001,0.0,0.0,0.0,2.75,0.0,0.0,3.0300000000000002,16.33,1.32,15.49,1.67,0.0,8.48,"end_season",1,45.0,1,1794238097
6.0,0.08,0.0,0.0,0.0,0.32,13.08,0.0,0.0,0.0,4.8500000000000005,0.0,0.03,2.15,19.13,1.1400000000000001,13.59,1.23,0.0,14.96,"end_season",1,49.0,1,1794238097
6.5,0.08,0.0,0.0,0.0,0.37,16.79,0.0,0.0,0.0,2.5,0.0,0.05,3.08,17.84,1.5699999999999998,18.8,2.27,0.0,10.61,"end_season",1,53.0,1,1794238097
7.0,0.0,0.0,0.0,0.06999999999999999,0.16999999999999998,14.56,0.0,0.0,0.0,0.45999999999999996,0.0,0.06999999999999999,5.6000000000000005,23.630000000000003,1.4000000000000001,23.74,2.32,0.0,9.76,"end_season",1,57.0,1,1794238097
7.5,0.0,0.0,0.0,0.06,0.12,13.41,0.0,0.0,0.0,0.7000000000000001,0.0,0.05,5.8500000000000005,25.990000000000002,1.05,26.21,2.7,0.0,12.43,"end_season",1,61.0,1,1794238097
8.0,0.0,0.0,0.0,0.02,0.08,9.45,0.0,0.0,0.0,0.61,0.0,0.0,5.58,22.46,1.03,27.639999999999997,2.35,0.0,15.0,"end_season",1,65.0,1,1794238097
8.5,0.0,0.0,0.0,0.0,0.0,7.000000000000001,0.0,0.0,0.0,1.15,0.0,0.0,6.69,23.5,0.8099999999999999,26.56,2.41,0.0,17.549999999999997,"end_season",1,69.0,1,1794238097
